frame,timestamp_seconds,track_id,fighter_label,confidence,bbox,keypoints,red_glove_score,white_glove_score,blue_glove_score,white_uniform_score,black_belt_score,standing_score,reference_match_score,pose_reference_match_score,competition_fighter_score,exclude_reference_match_score,exclude_body_match_score,exclude_face_detected,exclude_face_match_score,face_detected,face_match_score,gabriel_candidate_score,id_red_wrist_score,id_white_glove_score,id_blue_glove_score,id_pose_reference_score,id_face_detected,id_face_match_score,id_exclude_reference_score,id_exclude_body_score,id_exclude_face_detected,id_exclude_face_score,id_competition_fighter_score,id_continuity_score,id_reset_side_score,id_match_gap,id_confirmed_not_top,id_hard_reject_active,id_rejection_reason,id_visual_state,strike_punch_score,strike_kick_score,strike_punch_endpoint_motion,strike_kick_endpoint_motion,strike_punch_extension_delta,strike_kick_extension_delta,strike_punch_extension_ratio,strike_kick_extension_ratio,strike_kick_foot_height_change,strike_kick_foot_elevation_body_heights,strike_kick_support_foot_motion_body_heights,strike_punch_opponent_distance_body_heights,strike_punch_target_approach_body_heights,strike_punch_target_distance_body_heights,strike_punch_target_alignment,strike_kick_opponent_distance_body_heights,strike_kick_used_recent_opponent,strike_punch_commitment_frames,strike_kick_commitment_frames,strike_punch_cooldown,strike_kick_cooldown,strike_punch_armed,strike_kick_armed,strike_candidate_type,strike_confirmed,strike_rejection_reason,estimated_action
3,0.067,2,fighter-2,4.2097,"[490, 250, 558, 476]","[[516.6432291666666, 269.9368489583333], [515.5397135416666, 266.2584635416667], [516.6432291666666, 266.2584635416667], [519.9537760416666, 268.8333333333333], [535.03515625, 269.5690104166667], [518.8502604166666, 300.46744791666663], [550.484375, 299.73177083333337], [510.7578125, 337.619140625], [550.8522135416667, 335.412109375], [498.25130208333337, 369.62109375], [545.7024739583334, 364.103515625], [517.7467447916666, 372.931640625], [538.7135416666666, 372.56380208333326], [514.8040364583334, 428.47526041666674], [531.724609375, 424.42903645833326], [518.482421875, 474.82291666666674], [529.517578125, 470.041015625]]",0.0033,0.0,0.0,0.0106,0.9035,0.7747,0.5675,0.8197,0.0,0.6764,0.6764,False,0.0,False,0.0,0.7146,0.0033,0.0,0.0,0.8197,False,0.0,0.6764,0.6764,False,0.0,0.0,0.6947,0.0,0.057,False,False,not_active_fighter_pair,candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,0,0,0,0,True,True,,False,history_warmup,
3,0.067,1,fighter-1,4.7163,"[156, 242, 226, 448]","[[213.79947916666669, 264.1959635416667], [214.134765625, 260.1725260416667], [213.46419270833331, 259.8372395833333], [197.03515625, 259.501953125], [205.08203125, 260.8430989583333], [179.26497395833331, 280.625], [201.39388020833331, 286.9954427083333], [176.58268229166663, 310.1302083333333], [204.74674479166669, 319.5182291666667], [185.63541666666663, 332.5944010416667], [214.47005208333337, 347.68229166666663], [177.25325520833331, 334.6061197916667], [191.0, 335.947265625], [172.22395833333337, 384.228515625], [189.994140625, 388.251953125], [163.841796875, 423.45703125], [186.64127604166669, 433.515625]]",0.1359,0.5459,0.0,0.8284,0.002,0.7422,0.8045,0.8091,0.0,0.8868,0.8868,False,0.0,False,0.0,0.6575,0.1359,0.5459,0.0,0.8091,False,0.0,0.8868,0.8868,False,0.0,0.0,0.4142,0.0,-0.057,False,False,not_active_fighter_pair,candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,0,0,0,0,True,True,,False,history_warmup,
4,0.1,4,fighter-4,4.1338,"[224, 246, 273, 387]","[[246.6640625, 259.8154296875], [247.8115234375, 257.0615234375], [246.205078125, 257.0615234375], [254.0078125, 258.208984375], [252.171875, 258.208984375], [264.10546875, 276.7978515625], [250.5654296875, 276.109375], [263.646484375, 300.6650390625], [248.2705078125, 297.4521484375], [258.59765625, 321.3193359375], [242.07421875, 316.2705078125], [256.302734375, 322.6962890625], [245.9755859375, 321.548828125], [255.6142578125, 349.087890625], [243.6806640625, 347.4814453125], [254.466796875, 375.4794921875], [240.697265625, 372.037109375]]",0.0,0.0,0.0,0.0053,0.7952,0.7048,0.6945,0.8869,1.0,0.689,0.689,False,0.0,False,0.0,0.6211,0.0,0.0,0.0,0.8869,False,0.0,0.689,0.689,False,0.0,1.0,0.331,0.0,-0.0955,False,False,,candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,0,0,0,0,True,True,,False,history_warmup,
4,0.1,3,Ben,4.2316,"[431, 263, 484, 412]","[[445.61686197916663, 282.9345703125], [447.314453125, 280.0244140625], [443.6767578125, 280.751953125], [454.34733072916663, 275.4166666666667], [443.91927083333337, 278.5693359375], [469.8681640625, 289.482421875], [445.61686197916663, 289.482421875], [477.62858072916663, 309.853515625], [444.16178385416663, 308.1559244791667], [462.10774739583337, 321.494140625], [438.3414713541667, 323.9192708333333], [467.20052083333337, 331.6796875], [449.4970703125, 331.1946614583333], [465.74544270833337, 366.6015625], [447.55696614583337, 363.20638020833337], [467.20052083333337, 398.61328125], [449.98209635416663, 391.09537760416663]]",0.0,0.6875,0.0,0.8727,0.0149,0.7324,0.8618,0.9062,1.0,0.7921,0.7921,True,0.0,True,0.07,0.6105,0.0,0.6875,0.0,0.9062,True,0.07,0.7921,0.7921,True,0.0,1.0,0.7151,1.0,-0.106,True,True,face_mismatch,confirmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.4192,True,0,0,0,0,True,True,,False,history_warmup,
4,0.1,2,fighter-2,4.1762,"[490, 251, 559, 476]","[[516.8095703125, 270.8486328125], [516.0771484375, 266.8203125], [517.17578125, 266.8203125], [520.4716796875, 269.3837890625], [535.486328125, 270.1162109375], [519.7392578125, 301.244140625], [550.8671875, 300.1455078125], [511.6826171875, 338.59765625], [551.2333984375, 336.0341796875], [499.2314453125, 370.091796875], [545.3740234375, 364.232421875], [518.640625, 373.3876953125], [539.1484375, 373.3876953125], [515.7109375, 430.150390625], [532.1904296875, 426.48828125], [519.373046875, 475.560546875], [529.9931640625, 471.166015625]]",0.0064,0.0,0.0,0.0141,0.8949,0.7796,0.5669,0.821,0.0,0.679,0.679,False,0.0,False,0.0,0.7166,0.0064,0.0,0.0,0.821,False,0.0,0.679,0.679,False,0.0,0.0,0.6977,0.0,0.0585,False,False,not_active_fighter_pair,candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,0,0,0,0,True,True,,False,history_warmup,
4,0.1,1,fighter-1,4.7342,"[156, 243, 226, 448]","[[214.0224609375, 263.7535807291667], [214.0224609375, 259.7496744791667], [213.35514322916663, 259.7496744791667], [197.005859375, 260.0833333333333], [205.34733072916669, 261.0843098958333], [179.65559895833331, 281.1038411458333], [202.0107421875, 287.10970052083337], [177.31998697916663, 310.4658203125], [205.34733072916669, 319.474609375], [189.66536458333337, 332.82096354166663], [215.0234375, 347.8356119791667], [177.65364583333337, 334.82291666666663], [192.0009765625, 336.15755208333337], [172.64876302083331, 384.5380859375], [190.33268229166669, 388.5419921875], [163.63997395833331, 423.576171875], [187.32975260416669, 434.25325520833326]]",0.1482,0.5077,0.0,0.8295,0.001,0.7471,0.8138,0.8071,0.0,0.8873,0.8873,False,0.0,False,0.0,0.6581,0.1482,0.5077,0.0,0.8071,False,0.0,0.8873,0.8873,False,0.0,0.0,0.4098,0.0,-0.0585,False,False,not_active_fighter_pair,candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,0,0,0,0,True,True,,False,history_warmup,
5,0.133,4,fighter-4,4.1494,"[224, 246, 274, 387]","[[247.3935546875, 260.044921875], [248.3115234375, 257.291015625], [247.1640625, 257.291015625], [254.5078125, 258.4384765625], [253.3603515625, 258.4384765625], [264.60546875, 277.02734375], [251.75390625, 275.8798828125], [263.6875, 301.353515625], [249.2294921875, 297.681640625], [258.1796875, 321.3193359375], [243.4921875, 316.2705078125], [257.0322265625, 323.384765625], [246.705078125, 322.2373046875], [256.1142578125, 349.546875], [244.41015625, 348.169921875], [254.966796875, 375.708984375], [241.197265625, 372.2666015625]]",0.0,0.0,0.0,0.0063,0.7898,0.708,0.6868,0.8786,1.0,0.6854,0.6854,False,0.0,False,0.0,0.6169,0.0,0.0,0.0,0.8786,False,0.0,0.6854,0.6854,False,0.0,1.0,0.329,0.0,-0.1008,False,False,,candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,0,0,0,0,True,True,,False,history_warmup,
5,0.133,3,Ben,4.1354,"[432, 263, 486, 412]","[[446.38932291666663, 282.6920572916667], [448.0869140625, 279.5393880208333], [444.20670572916663, 280.2669270833333], [455.3623046875, 276.1442057291667], [444.93424479166663, 278.8118489583333], [470.640625, 289.9674479166667], [446.38932291666663, 290.4524739583333], [478.88606770833337, 310.0960286458333], [444.93424479166663, 308.8834635416667], [463.85026041666663, 321.9791666666667], [438.62890625, 324.1617838541667], [467.48795572916663, 330.9521484375], [449.5419921875, 330.7096354166667], [466.51790364583337, 366.11653645833337], [447.84440104166663, 362.9638671875], [467.48795572916663, 398.85579427083337], [450.26953125, 391.58040364583337]]",0.0,0.7083,0.0,0.8761,0.0198,0.7308,0.8642,0.905,1.0,0.784,0.784,True,0.0,True,0.0614,0.6077,0.0,0.7083,0.0,0.905,True,0.0614,0.784,0.784,True,0.0,1.0,0.7131,1.0,-0.1099,True,True,face_mismatch,confirmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.4192,True,0,0,0,0,True,True,,False,history_warmup,
5,0.133,2,fighter-2,4.1649,"[490, 251, 559, 476]","[[517.5419921875, 270.8486328125], [516.443359375, 267.1865234375], [517.908203125, 267.1865234375], [521.2041015625, 269.75], [535.8525390625, 270.8486328125], [520.10546875, 301.6103515625], [551.2333984375, 300.8779296875], [512.048828125, 338.9638671875], [551.599609375, 336.7666015625], [499.59765625, 371.1904296875], [546.1064453125, 367.162109375], [519.0068359375, 372.6552734375], [539.880859375, 372.2890625], [516.0771484375, 429.0517578125], [532.9228515625, 423.9248046875], [520.10546875, 475.560546875], [530.7255859375, 470.43359375]]",0.0061,0.0,0.0,0.0193,0.894,0.7764,0.5772,0.8171,0.0,0.6891,0.6891,False,0.0,False,0.0,0.7177,0.0061,0.0,0.0,0.8171,False,0.0,0.6891,0.6891,False,0.0,0.0,0.6989,0.0,0.0606,False,False,not_active_fighter_pair,candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,0,0,0,0,True,True,,False,history_warmup,
5,0.133,1,fighter-1,4.6386,"[157, 242, 226, 448]","[[214.634765625, 263.1901041666667], [214.634765625, 259.1666666666667], [213.62890625, 259.1666666666667], [197.53515625, 259.8372395833333], [205.58203125, 260.8430989583333], [180.77083333333331, 281.2955729166667], [203.23502604166663, 286.9954427083333], [178.08854166666669, 310.1302083333333], [206.25260416666663, 319.5182291666667], [190.15885416666669, 331.923828125], [215.30533854166663, 347.68229166666663], [178.75911458333337, 334.2708333333333], [193.17643229166669, 335.947265625], [173.05924479166669, 383.89322916666663], [191.16471354166669, 388.251953125], [165.34765625, 423.45703125], [187.81184895833337, 434.18619791666663]]",0.1318,0.5035,0.0,0.823,0.003,0.7422,0.8063,0.8096,0.0,0.8824,0.8824,False,0.0,False,0.0,0.6571,0.1318,0.5035,0.0,0.8096,False,0.0,0.8824,0.8824,False,0.0,0.0,0.4115,0.0,-0.0606,False,False,not_active_fighter_pair,candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,0,0,0,0,True,True,,False,history_warmup,
