frame,timestamp_seconds,track_id,selected_track_id,fighter_label,confidence,bbox,keypoints,red_glove_score,white_glove_score,blue_glove_score,blue_torso_score,white_uniform_score,black_belt_score,standing_score,reference_match_score,pose_reference_match_score,competition_fighter_score,exclude_reference_match_score,exclude_body_match_score,exclude_face_detected,exclude_face_match_score,face_detected,face_match_score,gabriel_candidate_score,id_red_wrist_score,id_white_glove_score,id_blue_glove_score,id_blue_torso_score,id_pose_reference_score,id_face_detected,id_face_match_score,id_exclude_reference_score,id_exclude_body_score,id_exclude_face_detected,id_exclude_face_score,id_competition_fighter_score,id_continuity_score,id_reset_side_score,id_match_gap,id_confirmed_not_top,id_hard_reject_active,id_rejection_reason,id_visual_state,strike_punch_score,strike_kick_score,strike_punch_endpoint_motion,strike_kick_endpoint_motion,strike_punch_extension_delta,strike_kick_extension_delta,strike_punch_extension_ratio,strike_kick_extension_ratio,strike_kick_foot_height_change,strike_kick_foot_elevation_body_heights,strike_kick_support_foot_motion_body_heights,strike_punch_opponent_distance_body_heights,strike_punch_target_approach_body_heights,strike_punch_target_distance_body_heights,strike_punch_target_alignment,strike_kick_opponent_distance_body_heights,strike_kick_used_recent_opponent,strike_punch_commitment_frames,strike_kick_commitment_frames,strike_punch_cooldown,strike_kick_cooldown,strike_punch_armed,strike_kick_armed,strike_candidate_type,strike_confirmed,strike_rejection_reason,estimated_action
5,0.133,2,,fighter-2,4.9109,"[352, 380, 451, 609]","[[391.4365234375, 399.82877604166663], [389.94563802083337, 396.1015625], [392.92740885416663, 396.1015625], [372.80045572916663, 399.82877604166663], [392.5546875, 399.4560546875], [360.8733723958333, 428.5283203125], [398.1455078125, 427.03743489583337], [359.009765625, 464.68229166666663], [417.89973958333337, 462.44596354166663], [360.5006510416667, 496.36360677083326], [436.53580729166663, 488.16373697916663], [376.52766927083337, 493.75455729166663], [395.9091796875, 491.1455078125], [398.1455078125, 541.0901692708333], [404.1090494791667, 543.3264973958333], [406.34537760416663, 585.4440104166667], [370.19140625, 581.716796875]]",0.3264,0.412,0.0062,0.0267,0.7176,0.0803,0.6917,0.8293,0.8482,1.0,0.8699,0.8699,False,0.0,False,0.0,0.6433,0.3264,0.412,0.0062,0.0267,0.8482,False,0.0,0.8699,0.8699,False,0.0,1.0,0.3484,1.0,-0.0575,False,True,red_glove,candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,0,0,0,0,True,True,,False,history_warmup,
5,0.133,1,,fighter-1,4.9102,"[841, 366, 962, 666]","[[875.62109375, 390.51171875], [874.64453125, 386.60546875], [876.59765625, 386.1171875], [880.50390625, 389.53515625], [898.5703125, 391.48828125], [873.66796875, 426.64453125], [914.1953125, 424.69140625], [863.90234375, 473.51953125], [912.73046875, 462.2890625], [850.71875, 511.1171875], [901.5, 492.5625], [887.828125, 494.515625], [910.2890625, 494.515625], [886.36328125, 568.24609375], [893.19921875, 561.8984375], [937.14453125, 624.3984375], [886.8515625, 618.05078125]]",0.2057,0.2622,0.0434,0.1623,0.3698,0.2569,0.6657,0.6352,0.8797,0.0,0.8125,0.8125,False,0.0,False,0.0,0.7008,0.2057,0.2622,0.0434,0.1623,0.8797,False,0.0,0.8125,0.8125,False,0.0,0.0,0.6111,0.0,0.0575,False,False,not_active_fighter_pair,candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,0,0,0,0,True,True,,False,history_warmup,
6,0.167,3,3,Gabriel,5.1359,"[700, 347, 780, 529]","[[737.0377604166666, 361.2779947916667], [740.2962239583334, 358.3157552083333], [736.7415364583334, 358.01953125], [749.4791666666666, 362.1666666666667], [739.111328125, 361.2779947916667], [760.439453125, 382.6061197916667], [737.6302083333334, 381.7174479166667], [765.1790364583334, 411.04361979166663], [737.0377604166666, 411.63606770833337], [758.3658854166666, 435.63020833333337], [724.5963541666666, 432.66796875], [755.107421875, 427.63216145833337], [738.22265625, 427.03971354166663], [763.10546875, 474.435546875], [728.1510416666666, 472.95442708333337], [767.8450520833334, 512.3522135416666], [719.560546875, 513.2408854166666]]",0.0244,0.6211,0.0,0.0152,0.6623,0.0251,0.7227,0.846,0.9241,1.0,0.8309,0.8309,False,0.0,False,0.0,0.8782,0.0244,0.6211,0.0,0.0152,0.9241,False,0.0,0.8309,0.8309,False,0.0,1.0,0.923,1.0,0.1727,False,False,,confirmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.6228,False,0,0,0,0,True,True,,False,history_warmup,
6,0.167,2,3,fighter-2,4.9442,"[362, 381, 461, 610]","[[401.4365234375, 398.96516927083337], [399.2001953125, 395.61067708333337], [402.92740885416663, 395.23795572916663], [384.6640625, 400.08333333333337], [403.6728515625, 398.96516927083337], [371.24609375, 429.15559895833337], [411.5, 425.42838541666663], [369.75520833333337, 464.93684895833337], [430.5087890625, 462.32779947916663], [373.10970052083337, 495.12727864583337], [446.90852864583337, 488.41829427083337], [387.6458333333333, 492.1455078125], [408.51822916666663, 489.53645833333337], [404.791015625, 540.5992838541667], [422.30891927083337, 540.2265625], [414.10904947916663, 586.4440104166667], [388.7639973958333, 579.3623046875]]",0.2797,0.3951,0.0,0.0122,0.7197,0.1238,0.7031,0.8365,0.853,1.0,0.8498,0.8498,False,0.0,False,0.0,0.6531,0.2797,0.3951,0.0,0.0122,0.853,False,0.0,0.8498,0.8498,False,0.0,1.0,0.363,0.0,-0.2251,False,True,red_glove,candidate,0.281,0.4182,56.9498,10.4539,3.3716,7.4016,1.0538,1.1677,9.7835,0.044,0.1686,,,,,,False,0,0,0,0,True,True,,False,below_threshold,
6,0.167,1,3,fighter-1,4.9295,"[847, 367, 960, 661]","[[877.181640625, 389.5859375], [877.66015625, 385.7578125], [877.66015625, 385.279296875], [885.31640625, 389.107421875], [900.150390625, 390.54296875], [878.6171875, 426.431640625], [918.333984375, 423.08203125], [870.00390625, 472.84765625], [917.85546875, 461.36328125], [857.083984375, 510.650390625], [903.5, 489.595703125], [892.97265625, 493.90234375], [914.02734375, 493.90234375], [884.837890625, 565.201171875], [901.107421875, 560.89453125], [934.603515625, 617.837890625], [894.88671875, 617.837890625]]",0.1864,0.3388,0.0413,0.1238,0.3935,0.3862,0.6624,0.6638,0.8776,0.0,0.8294,0.8294,False,0.0,False,0.0,0.7055,0.1864,0.3388,0.0413,0.1238,0.8776,False,0.0,0.8294,0.8294,False,0.0,0.0,0.6101,0.0,-0.1727,False,False,not_active_fighter_pair,candidate,0.0038,0.2082,25.8173,20.5739,0.0457,2.4987,1.0005,1.0456,7.0557,0.1494,0.1288,,,,,,False,0,0,0,0,True,True,,False,below_threshold,
7,0.2,3,3,Gabriel,5.0584,"[700, 348, 785, 528]","[[739.86328125, 362.4140625], [743.0859375, 359.484375], [739.5703125, 358.8984375], [752.4609375, 363.29296875], [741.9140625, 362.12109375], [763.30078125, 383.5078125], [740.7421875, 381.75], [768.28125, 411.6328125], [740.7421875, 412.8046875], [760.37109375, 435.94921875], [727.55859375, 433.3125], [759.4921875, 427.453125], [741.9140625, 426.8671875], [767.109375, 474.03515625], [731.3671875, 473.44921875], [774.140625, 511.828125], [719.35546875, 513.0]]",0.014,0.6172,0.0,0.015,0.6456,0.0306,0.7292,0.8294,0.9196,1.0,0.8175,0.8175,False,0.0,False,0.0,0.8803,0.014,0.6172,0.0,0.015,0.9196,False,0.0,0.8175,0.8175,False,0.0,1.0,0.94,1.0,0.1658,False,False,,confirmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.596,False,0,0,0,0,True,True,,False,history_warmup,
7,0.2,2,3,fighter-2,4.8458,"[375, 380, 470, 607]","[[412.5244140625, 398.91666666666663], [411.04654947916663, 395.22200520833337], [414.37174479166663, 394.8525390625], [395.5289713541667, 399.2861328125], [415.11067708333337, 398.177734375], [382.59765625, 428.47395833333337], [423.23893229166663, 423.30143229166663], [381.1197916666667, 463.20377604166663], [442.451171875, 460.248046875], [384.4449869791667, 490.54427083333326], [456.49088541666663, 487.58854166666674], [398.48470052083337, 490.1748046875], [419.91373697916663, 487.58854166666674], [413.6328125, 539.3138020833334], [438.017578125, 535.619140625], [419.54427083333337, 586.9749348958334], [409.56868489583337, 576.9993489583334]]",0.2229,0.4537,0.0,0.0062,0.753,0.0781,0.721,0.8398,0.8571,1.0,0.8689,0.8689,False,0.0,False,0.0,0.6574,0.2229,0.4537,0.0,0.0062,0.8571,False,0.0,0.8689,0.8689,False,0.0,1.0,0.3628,0.0,-0.2229,False,True,red_glove,candidate,0.5296,0.1916,50.318,22.293,6.3547,2.8268,1.114,1.0625,3.8314,0.0446,0.1711,,,,,,False,0,0,0,0,True,True,,False,below_threshold,
7,0.2,1,3,fighter-1,4.848,"[854, 365, 960, 655]","[[883.8717447916666, 388.22265625], [883.3997395833334, 384.44661458333337], [883.8717447916666, 384.44661458333337], [889.5358072916667, 387.75065104166663], [905.583984375, 389.638671875], [883.3997395833334, 425.51106770833337], [922.576171875, 421.73502604166663], [876.3196614583334, 471.29557291666674], [922.576171875, 460.91145833333326], [864.0475260416666, 509.52799479166674], [907.0, 491.11979166666674], [897.5598958333333, 493.0078125], [918.328125, 492.53580729166674], [884.8157552083334, 561.9205729166666], [906.5279947916667, 559.0885416666666], [933.904296875, 613.369140625], [902.2799479166667, 618.0891927083334]]",0.164,0.2787,0.035,0.073,0.4199,0.5209,0.6771,0.6646,0.884,0.0,0.8317,0.8317,False,0.0,False,0.0,0.7145,0.164,0.2787,0.035,0.073,0.884,False,0.0,0.8317,0.8317,False,0.0,0.0,0.6239,0.0,-0.1658,False,False,not_active_fighter_pair,candidate,0.0,0.3862,29.1656,20.2601,-1.4504,4.6342,0.9835,1.038,8.5677,0.1327,0.1483,,,,,,False,0,0,0,0,True,True,,False,below_threshold,
8,0.233,2,,fighter-2,4.5106,"[382, 378, 476, 608]","[[421.51302083333337, 396.41796875], [418.14388020833337, 393.048828125], [424.5078125, 393.048828125], [405.79036458333337, 397.91536458333337], [426.37955729166663, 396.41796875], [393.0625, 427.11458333333337], [436.861328125, 422.248046875], [390.4420572916667, 460.431640625], [452.95833333333337, 457.81119791666663], [393.4368489583333, 485.138671875], [465.31184895833337, 485.88736979166674], [408.03645833333337, 485.138671875], [433.4921875, 482.892578125], [420.76432291666663, 537.5475260416666], [452.583984375, 531.9322916666666], [424.88216145833337, 589.2076822916666], [433.4921875, 571.2389322916666]]",0.0958,0.4306,0.0,0.0143,0.7891,0.0144,0.7259,0.8564,0.8672,1.0,0.883,0.883,False,0.0,False,0.0,0.6728,0.0958,0.4306,0.0,0.0143,0.8672,False,0.0,0.883,0.883,False,0.0,1.0,0.3858,1.0,-0.0359,False,True,red_glove,candidate,0.0891,0.4745,49.587,23.7034,1.069,5.6944,1.0188,1.1234,9.7005,0.0,0.2407,,,,,,False,0,0,0,0,True,True,,False,below_threshold,
8,0.233,1,,fighter-1,4.7649,"[862, 364, 955, 651]","[[888.4137369791666, 386.982421875], [887.9466145833334, 383.24544270833337], [888.4137369791666, 382.31119791666663], [893.0849609375, 386.04817708333337], [911.302734375, 386.982421875], [888.4137369791666, 424.35221354166663], [926.2506510416667, 419.2138671875], [882.3411458333334, 469.6630859375], [929.9876302083333, 457.05078125], [870.6630859375, 505.63151041666674], [911.302734375, 484.14388020833326], [901.9602864583333, 491.15071614583326], [922.513671875, 490.68359375], [885.1438802083334, 557.4820963541666], [913.1712239583333, 557.94921875], [933.2574869791667, 609.3326822916666], [909.4342447916667, 615.8723958333334]]",0.0504,0.5278,0.0463,0.0196,0.4521,0.6398,0.6852,0.6508,0.8748,0.0,0.8346,0.8346,False,0.0,False,0.0,0.7087,0.0504,0.5278,0.0463,0.0196,0.8748,False,0.0,0.8346,0.8346,False,0.0,0.0,0.6199,0.0,0.0359,False,False,not_active_fighter_pair,candidate,0.0,0.3962,32.1328,18.849,-4.7416,4.7826,0.9461,1.0395,7.9232,0.1057,0.1565,,,,,,False,0,0,0,0,True,True,,False,below_threshold,
