frame,timestamp_seconds,track_id,fighter_label,confidence,bbox,keypoints,red_glove_score,white_glove_score,blue_glove_score,white_uniform_score,black_belt_score,standing_score,reference_match_score,pose_reference_match_score,competition_fighter_score,exclude_reference_match_score,exclude_body_match_score,exclude_face_detected,exclude_face_match_score,face_detected,face_match_score,gabriel_candidate_score,id_red_wrist_score,id_white_glove_score,id_blue_glove_score,id_pose_reference_score,id_face_detected,id_face_match_score,id_exclude_reference_score,id_exclude_body_score,id_exclude_face_detected,id_exclude_face_score,id_competition_fighter_score,id_continuity_score,id_reset_side_score,id_match_gap,id_confirmed_not_top,id_hard_reject_active,id_rejection_reason,id_visual_state,strike_punch_score,strike_kick_score,strike_punch_endpoint_motion,strike_kick_endpoint_motion,strike_punch_extension_delta,strike_kick_extension_delta,strike_punch_extension_ratio,strike_kick_extension_ratio,strike_kick_foot_height_change,strike_kick_foot_elevation_body_heights,strike_kick_support_foot_motion_body_heights,strike_punch_opponent_distance_body_heights,strike_punch_target_approach_body_heights,strike_punch_target_distance_body_heights,strike_punch_target_alignment,strike_kick_opponent_distance_body_heights,strike_kick_used_recent_opponent,strike_punch_commitment_frames,strike_kick_commitment_frames,strike_punch_cooldown,strike_kick_cooldown,strike_punch_armed,strike_kick_armed,strike_candidate_type,strike_confirmed,strike_rejection_reason,estimated_action
3,0.067,1,fighter-1,4.6338,"[647, 400, 811, 702]","[[721.626953125, 422.21744791666663], [713.7623697916666, 417.79361979166663], [730.9661458333333, 417.30208333333337], [707.3723958333334, 424.18359375], [738.3391927083334, 423.20052083333337], [680.337890625, 459.57421875], [767.8313802083334, 454.16731770833337], [659.693359375, 502.337890625], [796.83203125, 497.42252604166674], [674.9309895833334, 537.2369791666667], [781.1028645833334, 534.2877604166667], [707.8639322916666, 561.8138020833334], [753.5768229166667, 558.8645833333334], [719.1692708333334, 633.0865885416666], [759.966796875, 623.255859375], [730.474609375, 699.4440104166666], [763.8990885416666, 678.7994791666666]]",0.0,0.0342,0.394,0.0029,0.1507,0.8122,0.4948,0.8945,0.0,0.6957,0.6957,False,0.0,False,0.0,0.6373,0.0,0.0342,0.394,0.8945,False,0.0,0.6957,0.6957,False,0.0,0.0,0.447,0.0,-0.1659,False,False,not_active_fighter_pair,candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,0,0,0,0,True,True,,False,history_warmup,
4,0.1,4,fighter-4,4.2157,"[896, 346, 976, 504]","[[928.7994791666666, 361.4811197916667], [931.37109375, 358.3951822916667], [928.5423177083334, 358.3951822916667], [941.1432291666666, 359.6809895833333], [934.1998697916666, 360.1953125], [954.515625, 378.1966145833333], [931.1139322916666, 377.939453125], [956.5729166666667, 404.6842447916667], [923.65625, 400.8268229166667], [943.4576822916666, 420.62825520833337], [910.7981770833334, 419.599609375], [949.6295572916666, 418.31380208333337], [939.0859375, 418.31380208333337], [930.8567708333334, 456.11653645833337], [953.2298177083333, 453.80208333333337], [913.8841145833334, 490.576171875], [966.6022135416667, 486.20442708333337]]",0.0,0.748,0.0,0.7887,0.0017,0.7129,0.5114,0.8824,1.0,0.5683,0.5683,False,0.0,False,0.0,0.4635,0.0,0.748,0.0,0.8824,False,0.0,0.5683,0.5683,False,0.0,1.0,0.0,1.0,-0.1696,False,False,,tentative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,0,0,0,0,True,True,,False,history_warmup,
4,0.1,1,fighter-1,4.5474,"[647, 400, 812, 710]","[[722.9407552083334, 422.80598958333337], [714.8678385416666, 417.76041666666663], [733.0319010416666, 417.76041666666663], [708.30859375, 423.81510416666663], [739.5911458333334, 423.310546875], [681.0625, 460.14322916666663], [767.8463541666666, 454.08854166666663], [659.87109375, 501.01236979166663], [796.6061197916666, 497.48046875], [675.0078125, 535.8268229166666], [780.96484375, 534.3131510416666], [708.30859375, 561.5592447916667], [753.71875, 558.5319010416667], [718.904296875, 632.7018229166667], [759.7734375, 621.6015625], [729.5, 699.8079427083333], [763.8098958333334, 675.5891927083333]]",0.0,0.0386,0.3789,0.0028,0.1019,0.7926,0.4708,0.896,0.0,0.6833,0.6833,False,0.0,False,0.0,0.6331,0.0,0.0386,0.3789,0.896,False,0.0,0.6833,0.6833,False,0.0,0.0,0.4563,0.0,0.1696,False,False,not_active_fighter_pair,candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,0,0,0,0,True,True,,False,history_warmup,
5,0.133,1,fighter-1,4.54,"[649, 400, 813, 713]","[[723.3583984375, 423.02669270833337], [715.2073567708334, 417.93229166666663], [733.0377604166666, 417.4228515625], [709.0940755208334, 423.5361328125], [740.169921875, 423.5361328125], [682.09375, 459.70638020833337], [768.6985677083334, 454.1025390625], [661.2067057291666, 501.48046875], [797.7366536458334, 496.38606770833337], [675.4710286458334, 535.6129557291666], [780.9251302083333, 533.5751953125], [708.5846354166666, 561.0849609375], [753.4153645833333, 558.5377604166667], [719.2828776041666, 632.916015625], [760.0380859375, 620.1800130208333], [729.4716796875, 703.21875], [764.623046875, 672.65234375]]",0.0,0.0322,0.3789,0.0035,0.0836,0.7959,0.454,0.894,0.0,0.6723,0.6723,False,0.0,False,0.0,0.6291,0.0,0.0322,0.3789,0.894,False,0.0,0.6723,0.6723,False,0.0,0.0,0.4555,1.0,0.6291,False,True,not_competition_fighter,candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,0,0,0,0,True,True,,False,history_warmup,
6,0.167,1,fighter-1,4.5982,"[650, 400, 813, 714]","[[725.3671875, 422.58919270833337], [717.1901041666666, 416.96744791666663], [735.0774739583334, 416.96744791666663], [710.03515625, 423.10026041666663], [741.2102864583334, 422.58919270833337], [682.4375, 459.89713541666663], [769.3190104166666, 454.275390625], [661.9947916666666, 501.8046875], [798.4498697916667, 496.18294270833326], [676.8157552083334, 535.53515625], [781.5846354166666, 533.4908854166667], [709.0130208333334, 561.599609375], [753.9869791666666, 559.0442708333334], [719.7454427083333, 632.126953125], [760.630859375, 618.8391927083334], [728.9446614583333, 703.6764322916666], [765.23046875, 670.9680989583334]]",0.0,0.0308,0.3818,0.0023,0.0771,0.7943,0.4474,0.897,0.0,0.666,0.666,False,0.0,False,0.0,0.6283,0.0,0.0308,0.3818,0.897,False,0.0,0.666,0.666,False,0.0,0.0,0.4555,1.0,0.6283,False,True,not_competition_fighter,candidate,0.0,0.4237,3.4806,10.5913,-0.786,9.197,0.9897,1.0685,9.9089,0.0,0.0483,,,,,,False,0,0,0,0,True,True,,False,below_threshold,
7,0.2,1,fighter-1,4.5946,"[650, 400, 814, 715]","[[726.3603515625, 422.1484375], [718.1572265625, 417.021484375], [736.1015625, 417.021484375], [710.9794921875, 422.6611328125], [742.25390625, 422.6611328125], [683.806640625, 459.5751953125], [769.939453125, 453.935546875], [662.2734375, 501.103515625], [799.1630859375, 495.9765625], [677.1416015625, 534.94140625], [782.244140625, 532.890625], [709.9541015625, 561.0888671875], [754.55859375, 558.525390625], [719.6953125, 630.302734375], [760.7109375, 617.998046875], [728.923828125, 701.0546875], [765.3251953125, 669.7802734375]]",0.0,0.043,0.3755,0.0021,0.0686,0.7845,0.4406,0.8973,0.0,0.6611,0.6611,False,0.0,False,0.0,0.6256,0.0,0.043,0.3755,0.8973,False,0.0,0.6611,0.6611,False,0.0,0.0,0.4556,1.0,0.6256,False,True,not_competition_fighter,candidate,0.0,0.2888,3.5456,7.3992,-1.7001,4.9976,0.978,1.0367,5.7764,0.0,0.044,,,,,,False,0,0,0,0,True,True,,False,below_threshold,
8,0.233,1,fighter-1,4.5571,"[651, 400, 815, 715]","[[726.84765625, 422.1484375], [718.64453125, 416.5087890625], [736.5888671875, 416.5087890625], [711.9794921875, 422.6611328125], [743.25390625, 423.173828125], [685.3193359375, 458.5498046875], [770.4267578125, 453.935546875], [663.2734375, 499.5654296875], [800.1630859375, 495.4638671875], [677.62890625, 533.4033203125], [783.244140625, 532.3779296875], [709.9287109375, 560.0634765625], [755.0458984375, 557.5], [719.669921875, 629.7900390625], [760.685546875, 617.4853515625], [728.8984375, 701.5673828125], [765.2998046875, 668.2421875]]",0.0,0.0361,0.4009,0.0023,0.0595,0.7861,0.4356,0.8967,0.0,0.6417,0.6417,False,0.0,False,0.0,0.624,0.0,0.0361,0.4009,0.8967,False,0.0,0.6417,0.6417,False,0.0,0.0,0.4539,1.0,0.624,False,True,not_competition_fighter,candidate,0.0,0.1937,4.6878,5.3162,-2.6032,3.2946,0.9666,1.0236,3.8737,0.0,0.0357,,,,,,False,0,0,0,0,True,True,,False,below_threshold,
9,0.267,1,fighter-1,4.6279,"[653, 399, 816, 715]","[[728.8424479166666, 421.73307291666663], [720.61328125, 416.58984375], [738.1002604166666, 416.58984375], [713.9270833333334, 422.24739583333337], [745.30078125, 422.76171875], [687.1822916666666, 458.25], [772.5598958333334, 454.13541666666663], [665.06640625, 497.33854166666663], [800.84765625, 495.28125], [678.953125, 532.8268229166666], [783.875, 532.3125], [710.8411458333334, 559.5716145833333], [756.1015625, 557.5143229166667], [720.0989583333334, 627.4622395833333], [760.73046875, 617.17578125], [728.8424479166666, 698.4388020833333], [765.359375, 668.09375]]",0.0,0.0449,0.3848,0.0027,0.061,0.7731,0.4335,0.897,0.0,0.6564,0.6564,False,0.0,False,0.0,0.6216,0.0,0.0449,0.3848,0.897,False,0.0,0.6564,0.6564,False,0.0,0.0,0.4536,1.0,0.6216,False,True,not_competition_fighter,candidate,0.0,0.0309,4.9564,3.2495,-0.8959,3.5756,0.9882,1.0526,0.6185,0.0,0.0229,,,,,,False,0,0,0,0,True,True,,False,below_threshold,
10,0.3,1,fighter-1,4.6192,"[654, 399, 816, 715]","[[730.8854166666666, 421.73307291666663], [722.65625, 416.58984375], [740.6575520833334, 416.58984375], [714.94140625, 422.76171875], [746.8294270833334, 422.76171875], [688.1966145833334, 458.25], [773.57421875, 454.13541666666663], [666.5950520833334, 496.82421875], [802.3763020833334, 495.28125], [679.9674479166666, 532.8268229166666], [784.8893229166666, 531.2838541666666], [712.3697916666666, 559.0572916666667], [756.6015625, 557.0], [721.11328125, 626.9479166666667], [761.23046875, 617.17578125], [728.3138020833334, 697.41015625], [764.8307291666666, 669.1223958333333]]",0.0,0.043,0.3716,0.002,0.0539,0.7699,0.4337,0.8994,0.0,0.6493,0.6493,False,0.0,False,0.0,0.6218,0.0,0.043,0.3716,0.8994,False,0.0,0.6493,0.6493,False,0.0,0.0,0.4533,1.0,0.6218,False,True,not_competition_fighter,candidate,0.0,0.0,5.2896,6.2233,-1.1655,-4.3918,0.9847,0.9694,3.7809,0.0,0.0159,,,,,,False,0,0,0,0,True,True,,False,below_threshold,
11,0.333,1,fighter-1,4.6317,"[657, 399, 817, 714]","[[731.3603515625, 421.6611328125], [723.669921875, 416.021484375], [741.1015625, 416.021484375], [716.4921875, 422.173828125], [747.7666015625, 422.6865234375], [689.83203125, 457.5498046875], [775.4521484375, 454.4736328125], [667.7861328125, 496.001953125], [803.1376953125, 494.9765625], [681.62890625, 531.890625], [785.7060546875, 531.3779296875], [712.9033203125, 558.0380859375], [758.0205078125, 556.5], [721.1064453125, 625.7138671875], [761.609375, 617.5107421875], [727.771484375, 697.4912109375], [764.685546875, 669.29296875]]",0.0,0.0425,0.373,0.0021,0.0599,0.7715,0.4348,0.8984,0.0,0.6463,0.6463,False,0.0,False,0.0,0.6207,0.0,0.0425,0.373,0.8984,False,0.0,0.6463,0.6463,False,0.0,0.0,0.4497,1.0,0.6207,False,True,not_competition_fighter,candidate,0.0,0.0419,6.0373,4.6602,-1.0546,0.5026,0.9861,1.0045,0.8691,0.1371,0.0261,,,,,,False,0,0,0,0,True,True,,False,below_threshold,
